bioguide id,name,state,role,education
H001094,Val T. Hoyle,Oregon,Representative,"attended Bunker Hill Community College, Boston, Mass.; B.A., Emmanuel College, Boston, Mass., 1992"
B001326,Janelle S. Bynum,Oregon,Representative,"graduated from Madeira School, McLean, Va., 1992; B.S., Florida Agricultural and Mechanical University, Tallahassee, Fla., 1996; M.B.A., University of Michigan, Ann Arbor, Mich., 2000"
S001226,Andrea Salinas,Oregon,Representative,"B.A., University of California, Berkeley, Calif., 1994"
M001243,David McCormick,Pennsylvania,Senator,"B.S., mechanical engineering, United States Military Academy, West Point, 1987; M.P.A., Princeton University, 1994; Ph.D., international relations, Princeton University, 1996; United States Army, 1987-1992"
F000479,John Fetterman,Pennsylvania,Senator,"B.A., business administration, Albright College, Reading, Penn., 1991; M.B.A., University of Connecticut, 1993; M.P.P., Kennedy School of Government, Harvard University, 1999"
F000466,Brian K. Fitzpatrick,Pennsylvania,Representative,"B.S.B.A., La Salle University, Philadelphia, Pa., 1996; M.B.A., Pennsylvania State University, University Park, Pa., 2001; J.D., Dickinson School of Law, Pennsylvania State University, Carlisle, Pa., 2001; judicial clerk, Eastern District of Pennsylvania, 2001-2002"
B001296,Brendan F. Boyle,Pennsylvania,Representative,"B.A., University of Notre Dame, Notre Dame, Ind., 1999; M.P.P., Harvard University Kennedy School of Government, Cambridge, Mass., 2005"
E000296,Dwight Evans,Pennsylvania,Representative,"A.A., Community College of Philadelphia, Philadelphia, Pa., 1973; B.A., La Salle University, Philadelphia, Pa., 1975"
D000631,Madeleine Dean,Pennsylvania,Representative,"attended Montgomery County College, Blue Bell, Pa.; attended Fels Institute of Government, University of Pennsylvania, Philadelphia, Pa.; B.A., La Salle University, Philadelphia, Pa., 1981; J.D., Widener University Delaware Law School, Chester, Pa., 1984"
S001205,Mary Gay Scanlon,Pennsylvania,Representative,"B.A., Colgate University, Hamilton, N.Y., 1980; J.D., University of Pennsylvania, Philadelphia, Pa., 1984"
H001085,Chrissy Houlahan,Pennsylvania,Representative,"graduated from St. George's School, Middletown, R.I., 1985; B.S., Stanford University, Stanford, Calif., 1989; M.S., Massachusetts Institute of Technology, Cambridge, Mass., 1994; United States Air Force, 1989-1991; United States Air Force Reserve, 1991-2004"
M001230,Ryan Mackenzie,Pennsylvania,Representative,"B.S., New York University, New York, N.Y., 2004; M.B.A., Harvard University, Cambridge, Mass., 2010"
B001327,"Robert P. Bresnahan, Jr.",Pennsylvania,Representative,"graduated from Wyoming Seminary, Kingston, Pa., 2008; B.S., University of Scranton, Scranton, Pa., 2012"
M001204,Daniel Meuser,Pennsylvania,Representative,"attended New York Maritime University (now SUNY Maritime College), Bronx, N.Y., 1982-1983; B.A., Cornell University, Ithaca, N.Y., 1986"
